"Labor Force and Unemployment Data"

"Geographic Area:","City or Town"
"Area","Holyoke"
"Time Frame:","2026, 2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, 1996, 1995, 1994, 1993, 1992, 1991, 1990"
"Not Seasonally Adjusted"
"Area","Year","Month","Labor Force","Employed","Unemployed","Area Rate","Massachusetts Rate"
"Holyoke","2026","January","16791","15648","1143","6.8","5.2"
"Holyoke","2026","February","16763","15670","1093","6.5","5.1"
"Holyoke","2026","March","16667","15684","983","5.9","4.6"
"Holyoke","2026","April","16658","15733","925","5.6","4.1"
"Holyoke","2025","January","16878","15897","981","5.8","4.6"
"Holyoke","2025","February","16878","15871","1007","6.0","4.8"
"Holyoke","2025","March","16948","15978","970","5.7","4.5"
"Holyoke","2025","April","16934","16033","901","5.3","4.0"
"Holyoke","2025","May","16868","15903","965","5.7","4.4"
"Holyoke","2025","June","16963","15957","1006","5.9","4.5"
"Holyoke","2025","July","17097","15960","1137","6.7","4.7"
"Holyoke","2025","August","17082","15934","1148","6.7","4.6"
"Holyoke","2025","September","16934","15912","1022","6.0","4.4"
"Holyoke","2025","November","16913","15881","1032","6.1","4.6"
"Holyoke","2025","December","16791","15784","1007","6.0","4.6"
"Holyoke","2025","Annual","16935","15919","1016","6.0","4.5"
"Holyoke","2024","January","16637","15690","947","5.7","4.1"
"Holyoke","2024","February","16723","15737","986","5.9","4.3"
"Holyoke","2024","March","16851","15951","900","5.3","4.0"
"Holyoke","2024","April","16815","15967","848","5.0","3.4"
"Holyoke","2024","May","16774","15862","912","5.4","3.9"
"Holyoke","2024","June","17017","16006","1011","5.9","4.1"
"Holyoke","2024","July","17132","15993","1139","6.6","4.5"
"Holyoke","2024","August","17069","15974","1095","6.4","4.3"
"Holyoke","2024","September","16945","16014","931","5.5","3.7"
"Holyoke","2024","October","17000","16064","936","5.5","3.8"
"Holyoke","2024","November","16913","16007","906","5.4","3.8"
"Holyoke","2024","December","16863","15991","872","5.2","3.9"
"Holyoke","2024","Annual","16895","15938","957","5.7","4.0"
"Holyoke","2023","January","16387","15533","854","5.2","4.0"
"Holyoke","2023","February","16495","15605","890","5.4","4.0"
"Holyoke","2023","March","16491","15717","774","4.7","3.7"
"Holyoke","2023","April","16322","15713","609","3.7","2.8"
"Holyoke","2023","May","16280","15563","717","4.4","3.3"
"Holyoke","2023","June","16465","15652","813","4.9","3.6"
"Holyoke","2023","July","16490","15624","866","5.3","3.6"
"Holyoke","2023","August","16602","15691","911","5.5","3.6"
"Holyoke","2023","September","16509","15696","813","4.9","3.2"
"Holyoke","2023","October","16530","15757","773","4.7","3.3"
"Holyoke","2023","November","16698","15876","822","4.9","3.2"
"Holyoke","2023","December","16646","15739","907","5.4","3.6"
"Holyoke","2023","Annual","16493","15681","812","4.9","3.5"
"Holyoke","2022","January","16569","15579","990","6.0","4.4"
"Holyoke","2022","February","16783","15782","1001","6.0","4.2"
"Holyoke","2022","March","16788","15953","835","5.0","3.8"
"Holyoke","2022","April","16640","15828","812","4.9","3.3"
"Holyoke","2022","May","16658","15829","829","5.0","3.5"
"Holyoke","2022","June","16793","15875","918","5.5","3.8"
"Holyoke","2022","July","16731","15736","995","5.9","3.9"
"Holyoke","2022","August","16771","15761","1010","6.0","3.9"
"Holyoke","2022","September","16616","15781","835","5.0","3.3"
"Holyoke","2022","October","16490","15676","814","4.9","3.4"
"Holyoke","2022","November","16508","15713","795","4.8","3.2"
"Holyoke","2022","December","16466","15651","815","4.9","3.3"
"Holyoke","2022","Annual","16651","15764","887","5.3","3.7"
"Holyoke","2021","January","16897","15161","1736","10.3","7.2"
"Holyoke","2021","February","16954","15290","1664","9.8","6.9"
"Holyoke","2021","March","16969","15432","1537","9.1","6.3"
"Holyoke","2021","April","16894","15488","1406","8.3","5.6"
"Holyoke","2021","May","16917","15482","1435","8.5","5.4"
"Holyoke","2021","June","17177","15589","1588","9.2","5.9"
"Holyoke","2021","July","16995","15528","1467","8.6","5.6"
"Holyoke","2021","August","16871","15522","1349","8.0","5.1"
"Holyoke","2021","September","16829","15658","1171","7.0","4.4"
"Holyoke","2021","October","16812","15747","1065","6.3","4.1"
"Holyoke","2021","November","16788","15865","923","5.5","3.7"
"Holyoke","2021","December","16757","15878","879","5.2","3.6"
"Holyoke","2021","Annual","16905","15553","1352","8.0","5.3"
"Holyoke","2020","January","16998","16130","868","5.1","3.5"
"Holyoke","2020","February","17190","16335","855","5.0","3.4"
"Holyoke","2020","March","17071","16128","943","5.5","3.8"
"Holyoke","2020","April","16049","12658","3391","21.1","17.2"
"Holyoke","2020","May","16465","13442","3023","18.4","14.5"
"Holyoke","2020","June","17553","14128","3425","19.5","14.7"
"Holyoke","2020","July","17456","14341","3115","17.8","12.8"
"Holyoke","2020","August","17259","14755","2504","14.5","10.2"
"Holyoke","2020","September","17235","14909","2326","13.5","9.5"
"Holyoke","2020","October","17327","15427","1900","11.0","7.9"
"Holyoke","2020","November","17331","15505","1826","10.5","7.3"
"Holyoke","2020","December","17390","15486","1904","10.9","7.2"
"Holyoke","2020","Annual","17110","14937","2173","12.7","9.3"
"Holyoke","2019","January","17221","16184","1037","6.0","3.9"
"Holyoke","2019","February","17407","16448","959","5.5","3.6"
"Holyoke","2019","March","17382","16498","884","5.1","3.4"
"Holyoke","2019","April","17351","16597","754","4.3","2.7"
"Holyoke","2019","May","17063","16268","795","4.7","2.9"
"Holyoke","2019","June","17139","16229","910","5.3","3.2"
"Holyoke","2019","July","17042","16092","950","5.6","3.3"
"Holyoke","2019","August","17070","16120","950","5.6","3.1"
"Holyoke","2019","September","17184","16416","768","4.5","2.7"
"Holyoke","2019","October","17325","16575","750","4.3","2.6"
"Holyoke","2019","November","17314","16613","701","4.0","2.5"
"Holyoke","2019","December","17325","16588","737","4.3","2.7"
"Holyoke","2019","Annual","17236","16386","850","4.9","3.0"
"Holyoke","2018","January","16746","15701","1045","6.2","4.2"
"Holyoke","2018","February","17015","15999","1016","6.0","4.2"
"Holyoke","2018","March","17055","16121","934","5.5","3.8"
"Holyoke","2018","April","17103","16265","838","4.9","3.2"
"Holyoke","2018","May","17064","16187","877","5.1","3.3"
"Holyoke","2018","June","17060","16041","1019","6.0","3.8"
"Holyoke","2018","July","17087","15959","1128","6.6","3.8"
"Holyoke","2018","August","17101","16049","1052","6.2","3.4"
"Holyoke","2018","September","17321","16400","921","5.3","3.1"
"Holyoke","2018","October","17380","16509","871","5.0","3.0"
"Holyoke","2018","November","17399","16581","818","4.7","2.7"
"Holyoke","2018","December","17443","16552","891","5.1","3.1"
"Holyoke","2018","Annual","17148","16197","951","5.5","3.5"
"Holyoke","2017","January","16537","15408","1129","6.8","4.5"
"Holyoke","2017","February","16733","15685","1048","6.3","4.4"
"Holyoke","2017","March","16804","15854","950","5.7","4.0"
"Holyoke","2017","April","16805","15963","842","5.0","3.5"
"Holyoke","2017","May","16768","15841","927","5.5","3.8"
"Holyoke","2017","June","16702","15660","1042","6.2","4.0"
"Holyoke","2017","July","16733","15578","1155","6.9","4.2"
"Holyoke","2017","August","16695","15587","1108","6.6","3.9"
"Holyoke","2017","September","16845","15887","958","5.7","3.6"
"Holyoke","2017","October","16826","15949","877","5.2","3.4"
"Holyoke","2017","November","16877","16052","825","4.9","3.3"
"Holyoke","2017","December","16908","16028","880","5.2","3.5"
"Holyoke","2017","Annual","16769","15791","978","5.8","3.8"
"Holyoke","2016","January","16276","15135","1141","7.0","4.8"
"Holyoke","2016","February","16512","15427","1085","6.6","4.7"
"Holyoke","2016","March","16631","15554","1077","6.5","4.5"
"Holyoke","2016","April","16560","15636","924","5.6","3.8"
"Holyoke","2016","May","16438","15467","971","5.9","3.9"
"Holyoke","2016","June","16474","15455","1019","6.2","4.2"
"Holyoke","2016","July","16520","15380","1140","6.9","4.2"
"Holyoke","2016","August","16492","15420","1072","6.5","3.9"
"Holyoke","2016","September","16575","15616","959","5.8","3.7"
"Holyoke","2016","October","16646","15744","902","5.4","3.5"
"Holyoke","2016","November","16647","15839","808","4.9","3.3"
"Holyoke","2016","December","16671","15757","914","5.5","3.6"
"Holyoke","2016","Annual","16537","15536","1001","6.1","4.0"
"Holyoke","2015","January","16413","15076","1337","8.1","5.7"
"Holyoke","2015","February","16514","15257","1257","7.6","5.5"
"Holyoke","2015","March","16465","15265","1200","7.3","5.1"
"Holyoke","2015","April","16501","15365","1136","6.9","4.5"
"Holyoke","2015","May","16573","15304","1269","7.7","4.9"
"Holyoke","2015","June","16617","15340","1277","7.7","5.0"
"Holyoke","2015","July","16567","15132","1435","8.7","5.1"
"Holyoke","2015","August","16451","15118","1333","8.1","4.6"
"Holyoke","2015","September","16175","14994","1181","7.3","4.4"
"Holyoke","2015","October","16393","15262","1131","6.9","4.3"
"Holyoke","2015","November","16329","15305","1024","6.3","4.1"
"Holyoke","2015","December","16391","15297","1094","6.7","4.2"
"Holyoke","2015","Annual","16449","15226","1223","7.4","4.8"
"Holyoke","2014","January","16030","14462","1568","9.8","6.7"
"Holyoke","2014","February","16187","14628","1559","9.6","6.6"
"Holyoke","2014","March","16228","14762","1466","9.0","6.3"
"Holyoke","2014","April","16207","14895","1312","8.1","5.4"
"Holyoke","2014","May","16312","14829","1483","9.1","5.7"
"Holyoke","2014","June","16429","14860","1569","9.6","5.9"
"Holyoke","2014","July","16540","14811","1729","10.5","6.2"
"Holyoke","2014","August","16446","14826","1620","9.9","5.8"
"Holyoke","2014","September","16240","14779","1461","9.0","5.4"
"Holyoke","2014","October","16436","15115","1321","8.0","5.1"
"Holyoke","2014","November","16453","15145","1308","7.9","4.9"
"Holyoke","2014","December","16360","15128","1232","7.5","4.9"
"Holyoke","2014","Annual","16322","14853","1469","9.0","5.7"
"Holyoke","2013","January","16089","14363","1726","10.7","7.5"
"Holyoke","2013","February","16111","14502","1609","10.0","7.2"
"Holyoke","2013","March","16149","14579","1570","9.7","6.8"
"Holyoke","2013","April","16255","14726","1529","9.4","6.3"
"Holyoke","2013","May","16252","14624","1628","10.0","6.7"
"Holyoke","2013","June","16382","14587","1795","11.0","7.1"
"Holyoke","2013","July","16302","14474","1828","11.2","7.1"
"Holyoke","2013","August","16302","14487","1815","11.1","6.6"
"Holyoke","2013","September","16217","14570","1647","10.2","6.5"
"Holyoke","2013","October","16178","14613","1565","9.7","6.3"
"Holyoke","2013","November","16122","14698","1424","8.8","5.9"
"Holyoke","2013","December","16193","14743","1450","9.0","6.0"
"Holyoke","2013","Annual","16213","14581","1632","10.1","6.7"
"Holyoke","2012","January","16030","14308","1722","10.7","7.3"
"Holyoke","2012","February","16137","14445","1692","10.5","7.2"
"Holyoke","2012","March","16224","14648","1576","9.7","6.8"
"Holyoke","2012","April","16169","14732","1437","8.9","6.2"
"Holyoke","2012","May","16242","14693","1549","9.5","6.5"
"Holyoke","2012","June","16409","14738","1671","10.2","6.9"
"Holyoke","2012","July","16267","14403","1864","11.5","7.2"
"Holyoke","2012","August","16279","14411","1868","11.5","6.8"
"Holyoke","2012","September","16151","14522","1629","10.1","6.4"
"Holyoke","2012","October","16265","14695","1570","9.7","6.3"
"Holyoke","2012","November","16198","14629","1569","9.7","6.1"
"Holyoke","2012","December","16199","14555","1644","10.1","6.5"
"Holyoke","2012","Annual","16214","14565","1649","10.2","6.7"
"Holyoke","2011","January","15938","14193","1745","10.9","8.3"
"Holyoke","2011","February","16000","14311","1689","10.6","8.1"
"Holyoke","2011","March","16099","14416","1683","10.5","7.6"
"Holyoke","2011","April","16078","14493","1585","9.9","6.9"
"Holyoke","2011","May","16081","14408","1673","10.4","7.1"
"Holyoke","2011","June","16214","14439","1775","10.9","7.5"
"Holyoke","2011","July","16160","14293","1867","11.6","7.5"
"Holyoke","2011","August","16110","14346","1764","10.9","7.1"
"Holyoke","2011","September","16121","14435","1686","10.5","7.0"
"Holyoke","2011","October","16195","14553","1642","10.1","6.6"
"Holyoke","2011","November","16088","14521","1567","9.7","6.4"
"Holyoke","2011","December","16168","14532","1636","10.1","6.6"
"Holyoke","2011","Annual","16105","14412","1693","10.5","7.2"
"Holyoke","2010","January","15876","13919","1957","12.3","9.4"
"Holyoke","2010","February","15944","14058","1886","11.8","9.1"
"Holyoke","2010","March","16034","14205","1829","11.4","8.8"
"Holyoke","2010","April","15988","14316","1672","10.5","8.0"
"Holyoke","2010","May","16027","14314","1713","10.7","8.0"
"Holyoke","2010","June","16144","14335","1809","11.2","8.1"
"Holyoke","2010","July","16210","14293","1917","11.8","8.2"
"Holyoke","2010","August","16175","14276","1899","11.7","7.8"
"Holyoke","2010","September","16068","14279","1789","11.1","7.7"
"Holyoke","2010","October","16180","14486","1694","10.5","7.3"
"Holyoke","2010","November","16169","14491","1678","10.4","7.5"
"Holyoke","2010","December","16150","14460","1690","10.5","7.5"
"Holyoke","2010","Annual","16080","14286","1794","11.2","8.1"
"Holyoke","2009","January","16252","14471","1781","11.0","7.9"
"Holyoke","2009","February","16296","14505","1791","11.0","8.1"
"Holyoke","2009","March","16362","14584","1778","10.9","8.1"
"Holyoke","2009","April","16297","14634","1663","10.2","7.5"
"Holyoke","2009","May","16312","14497","1815","11.1","8.0"
"Holyoke","2009","June","16430","14537","1893","11.5","8.4"
"Holyoke","2009","July","16399","14409","1990","12.1","8.6"
"Holyoke","2009","August","16253","14334","1919","11.8","8.3"
"Holyoke","2009","September","16107","14244","1863","11.6","8.4"
"Holyoke","2009","October","16298","14413","1885","11.6","8.2"
"Holyoke","2009","November","16198","14468","1730","10.7","8.0"
"Holyoke","2009","December","16108","14289","1819","11.3","8.4"
"Holyoke","2009","Annual","16276","14449","1827","11.2","8.1"
"Holyoke","2008","January","16054","14812","1242","7.7","5.2"
"Holyoke","2008","February","16098","14886","1212","7.5","5.0"
"Holyoke","2008","March","16236","15057","1179","7.3","4.9"
"Holyoke","2008","April","16162","15158","1004","6.2","4.2"
"Holyoke","2008","May","16153","15011","1142","7.1","4.9"
"Holyoke","2008","June","16337","15106","1231","7.5","5.3"
"Holyoke","2008","July","16365","14962","1403","8.6","5.5"
"Holyoke","2008","August","16256","14888","1368","8.4","5.4"
"Holyoke","2008","September","16204","14920","1284","7.9","5.5"
"Holyoke","2008","October","16437","15111","1326","8.1","5.5"
"Holyoke","2008","November","16357","15040","1317","8.1","5.7"
"Holyoke","2008","December","16389","14905","1484","9.1","6.4"
"Holyoke","2008","Annual","16254","14988","1266","7.8","5.3"
"Holyoke","2007","January","16184","14906","1278","7.9","5.4"
"Holyoke","2007","February","16148","14943","1205","7.5","5.1"
"Holyoke","2007","March","16159","15064","1095","6.8","4.7"
"Holyoke","2007","April","16074","15065","1009","6.3","4.2"
"Holyoke","2007","May","16127","15089","1038","6.4","4.4"
"Holyoke","2007","June","16286","15196","1090","6.7","4.6"
"Holyoke","2007","July","16181","15008","1173","7.2","4.8"
"Holyoke","2007","August","15938","14881","1057","6.6","4.3"
"Holyoke","2007","September","15913","14926","987","6.2","4.3"
"Holyoke","2007","October","16029","15094","935","5.8","4.0"
"Holyoke","2007","November","16171","15206","965","6.0","4.0"
"Holyoke","2007","December","16180","15105","1075","6.6","4.4"
"Holyoke","2007","Annual","16116","15040","1076","6.7","4.5"
"Holyoke","2006","January","16011","14736","1275","8.0","5.3"
"Holyoke","2006","February","16051","14834","1217","7.6","5.3"
"Holyoke","2006","March","16091","14923","1168","7.3","5.0"
"Holyoke","2006","April","16088","15009","1079","6.7","4.5"
"Holyoke","2006","May","16101","14999","1102","6.8","4.6"
"Holyoke","2006","June","16232","15110","1122","6.9","4.8"
"Holyoke","2006","July","16244","14951","1293","8.0","5.0"
"Holyoke","2006","August","16035","14903","1132","7.1","4.6"
"Holyoke","2006","September","15993","14916","1077","6.7","4.6"
"Holyoke","2006","October","16104","15124","980","6.1","4.1"
"Holyoke","2006","November","16249","15180","1069","6.6","4.3"
"Holyoke","2006","December","16236","15158","1078","6.6","4.4"
"Holyoke","2006","Annual","16120","14987","1133","7.0","4.7"
"Holyoke","2005","January","16096","14782","1314","8.2","5.5"
"Holyoke","2005","February","16150","14872","1278","7.9","5.5"
"Holyoke","2005","March","16102","14920","1182","7.3","5.1"
"Holyoke","2005","April","16123","15040","1083","6.7","4.5"
"Holyoke","2005","May","16169","15030","1139","7.0","4.7"
"Holyoke","2005","June","16333","15100","1233","7.5","4.9"
"Holyoke","2005","July","16306","14980","1326","8.1","4.9"
"Holyoke","2005","August","16195","14985","1210","7.5","4.5"
"Holyoke","2005","September","16217","14947","1270","7.8","4.7"
"Holyoke","2005","October","16214","15095","1119","6.9","4.3"
"Holyoke","2005","November","16300","15118","1182","7.3","4.5"
"Holyoke","2005","December","16227","15081","1146","7.1","4.5"
"Holyoke","2005","Annual","16203","14996","1207","7.4","4.8"
"Holyoke","2004","January","16405","14983","1422","8.7","6.2"
"Holyoke","2004","February","16299","15019","1280","7.9","5.8"
"Holyoke","2004","March","16393","15095","1298","7.9","5.7"
"Holyoke","2004","April","16275","15146","1129","6.9","4.9"
"Holyoke","2004","May","16283","15107","1176","7.2","5.1"
"Holyoke","2004","June","16490","15212","1278","7.8","5.4"
"Holyoke","2004","July","16372","15091","1281","7.8","5.3"
"Holyoke","2004","August","16150","15033","1117","6.9","4.8"
"Holyoke","2004","September","16028","14952","1076","6.7","4.7"
"Holyoke","2004","October","16179","15130","1049","6.5","4.5"
"Holyoke","2004","November","16235","15167","1068","6.6","4.5"
"Holyoke","2004","December","16213","15116","1097","6.8","4.5"
"Holyoke","2004","Annual","16277","15088","1189","7.3","5.1"
"Holyoke","2003","January","16424","14963","1461","8.9","6.3"
"Holyoke","2003","February","16346","14979","1367","8.4","6.1"
"Holyoke","2003","March","16289","14957","1332","8.2","6.0"
"Holyoke","2003","April","16241","15077","1164","7.2","5.5"
"Holyoke","2003","May","16245","15073","1172","7.2","5.7"
"Holyoke","2003","June","16446","15158","1288","7.8","6.2"
"Holyoke","2003","July","16463","15005","1458","8.9","6.1"
"Holyoke","2003","August","16319","15053","1266","7.8","5.7"
"Holyoke","2003","September","16233","14978","1255","7.7","5.7"
"Holyoke","2003","October","16313","15120","1193","7.3","5.3"
"Holyoke","2003","November","16453","15199","1254","7.6","5.3"
"Holyoke","2003","December","16441","15194","1247","7.6","5.2"
"Holyoke","2003","Annual","16351","15063","1288","7.9","5.7"
"Holyoke","2002","January","16180","15001","1179","7.3","5.6"
"Holyoke","2002","February","16329","15199","1130","6.9","5.4"
"Holyoke","2002","March","16350","15245","1105","6.8","5.4"
"Holyoke","2002","April","16274","15231","1043","6.4","5.0"
"Holyoke","2002","May","16378","15350","1028","6.3","5.0"
"Holyoke","2002","June","16491","15395","1096","6.6","5.4"
"Holyoke","2002","July","16491","15242","1249","7.6","5.5"
"Holyoke","2002","August","16298","15138","1160","7.1","5.2"
"Holyoke","2002","September","16361","15272","1089","6.7","5.2"
"Holyoke","2002","October","16424","15312","1112","6.8","5.0"
"Holyoke","2002","November","16468","15278","1190","7.2","5.1"
"Holyoke","2002","December","16473","15244","1229","7.5","5.3"
"Holyoke","2002","Annual","16376","15242","1134","6.9","5.2"
"Holyoke","2001","January","16111","15120","991","6.2","3.6"
"Holyoke","2001","February","16095","15177","918","5.7","3.5"
"Holyoke","2001","March","16136","15206","930","5.8","3.6"
"Holyoke","2001","April","15964","15161","803","5.0","3.2"
"Holyoke","2001","May","15965","15149","816","5.1","3.3"
"Holyoke","2001","June","16157","15280","877","5.4","3.8"
"Holyoke","2001","July","16010","15124","886","5.5","4.0"
"Holyoke","2001","August","16005","15115","890","5.6","3.9"
"Holyoke","2001","September","15978","15147","831","5.2","4.0"
"Holyoke","2001","October","16038","15244","794","5.0","4.0"
"Holyoke","2001","November","16122","15278","844","5.2","4.2"
"Holyoke","2001","December","16197","15311","886","5.5","4.4"
"Holyoke","2001","Annual","16065","15193","872","5.4","3.8"
"Holyoke","2000","January","16017","15131","886","5.5","3.7"
"Holyoke","2000","February","15980","15141","839","5.3","3.5"
"Holyoke","2000","March","15912","15126","786","4.9","3.3"
"Holyoke","2000","April","15813","15248","565","3.6","2.5"
"Holyoke","2000","May","15745","15137","608","3.9","2.7"
"Holyoke","2000","June","15831","15230","601","3.8","2.9"
"Holyoke","2000","July","15700","14968","732","4.7","3.0"
"Holyoke","2000","August","15583","14953","630","4.0","2.6"
"Holyoke","2000","September","15352","14807","545","3.6","2.5"
"Holyoke","2000","October","15626","15131","495","3.2","2.2"
"Holyoke","2000","November","15799","15204","595","3.8","2.3"
"Holyoke","2000","December","15978","15345","633","4.0","2.4"
"Holyoke","2000","Annual","15778","15118","660","4.2","2.8"
"Holyoke","1999","January","16229","15255","974","6.0","3.9"
"Holyoke","1999","February","16460","15437","1023","6.2","3.8"
"Holyoke","1999","March","16481","15494","987","6.0","3.6"
"Holyoke","1999","April","16444","15561","883","5.4","3.2"
"Holyoke","1999","May","16441","15577","864","5.3","3.1"
"Holyoke","1999","June","16503","15616","887","5.4","3.5"
"Holyoke","1999","July","16184","15323","861","5.3","3.6"
"Holyoke","1999","August","15973","15251","722","4.5","3.1"
"Holyoke","1999","September","16006","15277","729","4.6","3.2"
"Holyoke","1999","October","16089","15481","608","3.8","2.9"
"Holyoke","1999","November","16188","15545","643","4.0","2.8"
"Holyoke","1999","December","16254","15538","716","4.4","2.8"
"Holyoke","1999","Annual","16271","15446","825","5.1","3.3"
"Holyoke","1998","January","16381","15189","1192","7.3","4.3"
"Holyoke","1998","February","16469","15334","1135","6.9","4.0"
"Holyoke","1998","March","16525","15425","1100","6.7","4.0"
"Holyoke","1998","April","16311","15421","890","5.5","3.0"
"Holyoke","1998","May","16412","15426","986","6.0","3.2"
"Holyoke","1998","June","16623","15521","1102","6.6","3.6"
"Holyoke","1998","July","16400","15371","1029","6.3","3.5"
"Holyoke","1998","August","16331","15440","891","5.5","3.1"
"Holyoke","1998","September","16270","15460","810","5.0","3.3"
"Holyoke","1998","October","16545","15753","792","4.8","2.9"
"Holyoke","1998","November","16638","15893","745","4.5","2.8"
"Holyoke","1998","December","16650","15892","758","4.6","2.9"
"Holyoke","1998","Annual","16463","15510","953","5.8","3.4"
"Holyoke","1997","January","16463","15167","1296","7.9","5.1"
"Holyoke","1997","February","16506","15352","1154","7.0","4.8"
"Holyoke","1997","March","16571","15479","1092","6.6","4.7"
"Holyoke","1997","April","16466","15580","886","5.4","3.9"
"Holyoke","1997","May","16432","15591","841","5.1","4.0"
"Holyoke","1997","June","16618","15680","938","5.6","4.3"
"Holyoke","1997","July","16391","15518","873","5.3","4.2"
"Holyoke","1997","August","16334","15472","862","5.3","3.9"
"Holyoke","1997","September","16376","15461","915","5.6","3.9"
"Holyoke","1997","October","16421","15677","744","4.5","3.4"
"Holyoke","1997","November","16724","15825","899","5.4","3.3"
"Holyoke","1997","December","16636","15685","951","5.7","3.3"
"Holyoke","1997","Annual","16495","15541","954","5.8","4.1"
"Holyoke","1996","January","16077","14651","1426","8.9","5.9"
"Holyoke","1996","February","16084","14846","1238","7.7","5.4"
"Holyoke","1996","March","16171","14957","1214","7.5","5.2"
"Holyoke","1996","April","16153","15154","999","6.2","4.6"
"Holyoke","1996","May","16255","15231","1024","6.3","4.6"
"Holyoke","1996","June","16353","15290","1063","6.5","4.6"
"Holyoke","1996","July","16206","15168","1038","6.4","4.8"
"Holyoke","1996","August","16140","15233","907","5.6","4.1"
"Holyoke","1996","September","16287","15256","1031","6.3","4.3"
"Holyoke","1996","October","16472","15507","965","5.9","3.9"
"Holyoke","1996","November","16664","15614","1050","6.3","4.0"
"Holyoke","1996","December","16521","15483","1038","6.3","4.0"
"Holyoke","1996","Annual","16282","15199","1083","6.7","4.6"
"Holyoke","1995","January","16360","14871","1489","9.1","6.6"
"Holyoke","1995","February","16477","15028","1449","8.8","6.1"
"Holyoke","1995","March","16463","15061","1402","8.5","5.9"
"Holyoke","1995","April","16457","15093","1364","8.3","5.6"
"Holyoke","1995","May","16427","15062","1365","8.3","5.4"
"Holyoke","1995","June","16554","15084","1470","8.9","5.7"
"Holyoke","1995","July","16501","15068","1433","8.7","5.7"
"Holyoke","1995","August","16415","14984","1431","8.7","5.3"
"Holyoke","1995","September","16525","15012","1513","9.2","5.3"
"Holyoke","1995","October","16522","15206","1316","8.0","4.7"
"Holyoke","1995","November","16672","15217","1455","8.7","4.7"
"Holyoke","1995","December","16519","15132","1387","8.4","4.7"
"Holyoke","1995","Annual","16491","15068","1423","8.6","5.5"
"Holyoke","1994","January","15977","14254","1723","10.8","7.5"
"Holyoke","1994","February","16148","14376","1772","11.0","7.2"
"Holyoke","1994","March","16172","14437","1735","10.7","7.0"
"Holyoke","1994","April","16064","14434","1630","10.1","6.3"
"Holyoke","1994","May","16022","14564","1458","9.1","6.0"
"Holyoke","1994","June","16125","14587","1538","9.5","6.3"
"Holyoke","1994","July","15937","14516","1421","8.9","6.4"
"Holyoke","1994","August","15912","14579","1333","8.4","6.0"
"Holyoke","1994","September","15939","14575","1364","8.6","6.0"
"Holyoke","1994","October","16015","14711","1304","8.1","5.5"
"Holyoke","1994","November","16270","14816","1454","8.9","5.5"
"Holyoke","1994","December","16111","14697","1414","8.8","5.3"
"Holyoke","1994","Annual","16058","14546","1512","9.4","6.2"
"Holyoke","1993","January","16327","14387","1940","11.9","9.0"
"Holyoke","1993","February","16453","14524","1929","11.7","8.7"
"Holyoke","1993","March","16406","14595","1811","11.0","8.3"
"Holyoke","1993","April","16385","14689","1696","10.4","7.4"
"Holyoke","1993","May","16550","14815","1735","10.5","7.2"
"Holyoke","1993","June","16670","14900","1770","10.6","7.4"
"Holyoke","1993","July","16475","14796","1679","10.2","7.3"
"Holyoke","1993","August","16351","14826","1525","9.3","6.7"
"Holyoke","1993","September","16354","14731","1623","9.9","6.8"
"Holyoke","1993","October","16388","14871","1517","9.3","6.4"
"Holyoke","1993","November","16389","14898","1491","9.1","6.2"
